Company,URL,Company Description,All Investors,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,Phone,Email,VC Backed,Exit Round,Exit Date,Last Funding Round,Last Funding Date,Last Funding Amount,Last Funding Simplified Round,Last Funding Investors,Min Valuation,Max Valuation,Min Price/Sales Ratio,Max Price/Sales Ratio,Continent,Private Collections,Expert Collections,Twitter Score,# Twitter Followers,Twitter Engagement,Followers to Following,Twitter Followers Growth,Twitter Mentions Growth,Twitter Handle
Aerie Pharmaceuticals,http://www.aeriepharma.com,"Aerie Pharmaceuticals is a privately held, clinical-stage biotechnology company dedicated to the discovery and development of treatments for glaucoma. All technology of the company is based on internal discovery R&D and is protected by a strong IP portfolio. Aerie is developing a diverse portfolio of molecules for ophthalmic use from internal discovery, academia, and industry. In addition, Aerie optimizes delivery of medications to ocular target tissues and enhances patient compliance by developing sustained drug delivery solutions.",Alta Partners;Clarus;Novo Ventures;Osage University Partners;Public;Sofinnova Ventures;TPG Biotech,71,Healthcare,Biotechnology,,United States,North Carolina,Research Triangle Park,919-313-9650,info@aeriepharma.com,Yes,IPO,2013/10/25,Debt - II,2013/08/29,15,Debt,Alta Partners;Clarus;TPG Biotech;Sofinnova Ventures,203.24,203.24,,,North America,,Pharma Startups;Eye Health,,,,,,,
Aerohive Networks,http://www.aerohive.com,"Aerohive Networks reduces the cost and complexity of networks with cloud-enabled, distributed Wi-Fi and routing solutions for enterprises and medium sized companies including branch offices and teleworkers. Aerohive's cooperative control Wi-Fi architecture, public or private cloud-enabled network management, routing and VPN solutions eliminate costly controllers and single points of failure. This gives its customers mission critical reliability with granular security and policy enforcement and the ability to start small and expand without limitations.",Apogee Venture Group;Big Basin Partners;Institutional Venture Partners;Kleiner Perkins Caufield & Byers;Lightspeed Venture Partners;New Enterprise Associates;Northern Light Venture Capital;Public,105,Mobile & Telecommunications,Telecom Devices & Equipment,Wireless Telecom Equipment,United States,California,Sunnyvale,408-988-9918,,Yes,IPO,2014/03/28,Series E,2013/07/09,10,Series E,Big Basin Partners;New Enterprise Associates;Lightspeed Venture Partners;Northern Light Venture Capital,436.06,436.06,4.070381779,4.070381779,North America,,Smart Money VCs;Cloud Computing,,17481,0.24,4.29,-26.00%,88.00%,@Aerohive
Aerpio Therapeutics,,"Aerpio Therapeutics is a clinical‐stage biopharmaceutical company focused on advancing innovative therapies for vascular diseases. Aerpio is a leader in the development of small molecule drugs based on Tie2 activation and the stabilization of hypoxia-inducible factor 1α (HIF‐1α). The Company's lead program, AKB‐9778, is a first‐in‐class stabilizer of the Tie2 pathway and is in clinical development for diabetic macular edema.",Aerpio Pharmaceuticals;AgeChem Venture Fund;Athenian Venture Partners;Kearny Venture Partners;Novartis Venture Funds;OrbiMed Advisors;Queen City Angels;Satter Investment Mangement;Triathlon Medical Venture Partners;Undisclosed Investors;Venture Investors,66.01,Healthcare,Biotechnology,,United States,Ohio,Cincinnati,513-985-1920,,Yes,Reverse Merger,2017/03/16,Debt - II,2016/11/14,3.47,Debt,Undisclosed Investors,30,30,,,North America,,Pharma Startups;Eye Health,,,,,,,
Agile Software,http://www.agilesoft.com,"Agile Software develops product chain management solutions enabling manufacture's and their partners to build better, more profitable products faster. From the severely compressed product lifecycles of the electronics industry to the stretched supply chains and unrelenting cost pressures of the automotive industry to the highly regulated processes of the life sciences industry, Agile's product lifecycle management solutions (Agile PLM) leverage industry best practices to deliver business ready, high value applications. Agile works closely with industry leading companies to define their unique business requirements and to tailor the Agile solutions to ensure that customers realize substantial business impact and industry leading time-to-value. The result is a comprehensive set of industry-focused solutions that allow customers to effectively manage all phases of the product lifecycle.",Accel;Chase H&Q;Focus Ventures;Integral Capital Partners;Mohr Davidow Ventures;Needham Capital Partners;Public;Sequoia Capital;Undisclosed Venture Investors,26.19,Software (non-internet/mobile),Supply Chain & Logistics Software,,United States,California,San Jose,408-284-4000,,Yes,IPO,1999/12/17,Unattributed VC,1998/06/18,12,Venture Capital,Sequoia Capital;Needham Capital Partners;Accel;Chase H&Q;Integral Capital Partners;Mohr Davidow Ventures;Focus Ventures,,,,,North America,,Smart Money VCs,,,,,,,
Agile Therapeutics,http://www.agiletherapeutics.com,"Agile Therapeutics is a women's health specialty pharmaceutical company focused on the development and commercialization of new prescription contraceptive products for women. The company's product candidates are designed to provide women with contraceptive options that offer greater convenience and facilitate compliance. Agile has developed a proprietary transdermal patch technology called Skinfusion designed to provide advantages over currently-available patches and is intended to optimize patch adherence and patient acceptability. Its lead product candidate, Twirla, also known as AG200-15, is a once-weekly prescription contraceptive patch currently in Phase 3 clinical development.",Aisling Capital;Care Capital;Investor Growth Capital;Kaiser Permanente Ventures;Novitas Capital;PA Early Stage Partners;ProQuest Investments;Public;The Hillman Company;TL Ventures;Undisclosed Venture Investors,124.55,Healthcare,Pharmaceuticals / Drugs,,United States,New Jersey,Princeton,609-683-1880,info@agiletherapeutics.com,Yes,IPO,2014/05/23,Debt,2014/05/09,3,Debt,Care Capital;Investor Growth Capital;Aisling Capital,111.55,111.55,,,North America,,Womens Health Startups;Pharma Startups,,3,0,3,100.00%,,@Agile_Thera
Agios Pharmaceuticals,http://www.agios.com,"Agios Pharmaceuticals is a biopharmaceutical company dedicated to the discovery and development of therapeutics in the field of cancer metabolism. To support and drive these efforts, Agios has built a platform integrating cancer biology, metabolomics, biochemistry and informatics to enable target and biomarker identification. Agios' capabilities to interrogate differential cellular metabolism of diseased cells relative to normal cells may also be applicable to other therapeutics areas including autoimmune, inflammatory and neurological diseases.",Accelerate Brain Cancer Cure;ARCH Venture Partners;Celgene;Flagship Pioneering;Public;Qualifying Therapeutic Discovery Project;Third Rock Ventures;WuXi Healthcare Ventures,140.28,Healthcare,Biotechnology,,United States,Massachusetts,Cambridge,617-649-8600,,Yes,IPO,2013/07/24,Series C,2011/11/17,78,Series C,ARCH Venture Partners;Flagship Pioneering;Celgene;Third Rock Ventures,528.84,528.84,84.47923323,84.47923323,North America,,BIO 2016;Pharma Startups;Cancer Therapeutics;Neuroscience Startups,,,,,,,
Aileron Therapeutics,http://www.aileronrx.com,"Aileron Therapeutics (NASDAQ: ALRN) is a biopharmaceutical company developing and advancing a class of drugs called Stapled Peptides. The company's Stapled Peptides platform is a breakthrough approach to creating drugs for highly sought after biological targets using its peptide stabilizing technologies. Aileron's Stapled Peptides have demonstrated an ability to penetrate cells throughout the body and modulate intracellular and extracellular protein-protein interactions, critical control points for most human diseases. The ability to target and regulate these control points affords the opportunity to exploit potentially thousands of well characterized, yet currently ""undruggable"" cellular targets with applications in all human diseases.",AJU IB Investment;Apple Tree Partners;Excel Venture Management;GlaxoSmithKline;Lilly Ventures;Novartis Venture Funds;Public;Roche Venture Fund;SR One,172.31,Healthcare,Drug Development,,United States,Massachusetts,Cambridge,617-995-0900,info@aileronrx.com,Yes,IPO,2017/06/29,Series F,2017/01/06,30.11,Series F,Excel Venture Management;Novartis Venture Funds;Lilly Ventures;Apple Tree Partners,220.65,220.65,,,North America,,BIO 2016;Pharma Startups,,,,,,,
AirGate PCS,,"AirGate PCS is a Mobile & Telecommunications/Telecom Services/Wireless company based in Atlanta, Georgia. AirGate PCS' investors include Lightspeed Venture Partners and Globespan Capital Partners.",Globespan Capital Partners;Lightspeed Venture Partners;Public,7.3,Mobile & Telecommunications,Telecom Services,Wireless,United States,Georgia,Atlanta,,,Yes,IPO,2001/12/21,Unattributed VC - II,1999/05/13,2.5,Venture Capital,Lightspeed Venture Partners;Globespan Capital Partners,,,,,North America,,Smart Money VCs,,,,,,,
AirXpanders,http://www.airxpanders.com,"AirXpanders has developed the AeroForm tissue expander, a patient controlled breast tissue expander that could change the field of reconstructive surgery. The AeroForm patient controlled tissue expander includes a small handheld wireless controller that administers small amounts of CO2 into the device to stretch the skin to accommodate a permanent breast implant.",Correlation Ventures;GBS Venture Partners;GE Healthcare Financial Services;Heron Capital;Oxford Finance;Prolog Ventures;Public;Shalon Ventures;Undisclosed Investors;Vivo Capital;Western Technology Investment,46.18,Healthcare,Medical Devices & Equipment,Surgical Devices,United States,California,Palo Alto,650-390-9000,,Yes,IPO,2015/06/19,Series E - II,2015/06/08,3,Series E,GBS Venture Partners;Vivo Capital;Shalon Ventures;Correlation Ventures,88,88,,,North America,,Medical Devices;Womens Health Startups,,335,0.25,1.2,-50.00%,0.00%,@AirXpander
Airgain,http://www.airgain.com,"Airgain is a wireless system company focused on improving the mass market's wireless connectivity experience through its patented smart antenna technology, embedded antenna designs, and modular wireless video and system products. Airgain designs, develops and engineers its antenna products and connectivity solutions for original equipment and design manufacturers worldwide.The Airgain Maxbeam' smart antenna and Profile embedded antenna solutions have been integrated into a variety of WLAN devices made by many major consumer electronics brands.Airgain connectivity solutions are used in Wi-Fi access points, routers, residential gateways, set-top boxes, media adapters and client devices made by major consumer electronics brands.",GEN3 Capital Partners;Northwater Capital Management;Public,19.22,Mobile & Telecommunications,Telecom Devices & Equipment,Wireless Telecom Equipment,United States,California,San Diego,760-579-0200,info@airgain.com,Yes,IPO,2016/08/12,Series C,2009/06/05,1.9,Series C,GEN3 Capital Partners,57.9,57.9,,,North America,,CES 2016,,,,,,,
Airspan Networks,http://www.airspan.com,"Airspan Networks, Inc. (NASDAQ:AIRN) is a wireless local loop provider to the telecommunications industry.",BancBoston Capital;Covera Ventures;CRV;DB Overseas Holding;Deutsche Bank;InterWest Partners;Kirlan Venture Capital;Meritech Capital Partners;Oak Investment Partners;Public;Rho Ventures;SeaPoint Ventures;Sevin Rosen Funds;Star Ventures;Venrock;Weston Presidio Capital,117.95,Mobile & Telecommunications,Telecom Devices & Equipment,,United States,Florida,Boca Raton,561-893-8670,,Yes,IPO,2000/07/17,Series C,2000/04/11,55.45,Series C,Weston Presidio Capital;SeaPoint Ventures;Venrock;Oak Investment Partners;Deutsche Bank;CRV;InterWest Partners;BancBoston Capital;Sevin Rosen Funds;Meritech Capital Partners,105.82369,105.82369,,,North America,,Mobile World Congress 2016;Smart Money VCs,,501,2,125.25,33.00%,,@AirspanNetworks
Akamai Technologies,http://www.akamai.com,"Akamai Technologies (NASDAQ: AKAM) provides Content Delivery Network (CDN) services that offers a cloud platform for helping enterprises provide secure, high-performing user experiences on any device, anywhere. At the core of the Company's solutions is the Akamai Intelligent Platform providing extensive reach, coupled with reliability, security, visibility, and expertise. Akamai removes the complexities of connecting the increasingly mobile world, supporting 24/7 consumer demand and enabling enterprises to securely leverage the cloud.",Baker Capital;Battery Ventures;Polaris Partners;Public,43.37,Computer Hardware & Services,IT Services,Data Storage & Security,United States,Massachusetts,Cambridge,617-444-3000,invrel@akamai.com,Yes,IPO,1999/10/29,Unattributed VC - III,1999/05/12,15,Venture Capital,Baker Capital;Polaris Partners,,,,,North America,,RSA Exhibitors 2016;Mobile World Congress 2016;Smart Money VCs;Money 20/20 Vegas;The Edge Computing Landscape,,113667,1.36,37.39,-158.00%,-22.00%,@Akamai
Akebia Therapeutics,http://www.akebia.com,"Akebia Therapeutics is focused on delivering innovative therapies to patients with kidney disease through hypoxia-inducible factor (HIF) biology. Akebia's lead product candidate, vadadustat, is an investigational oral therapy in development for the treatment of anemia related to chronic kidney disease in both non-dialysis and dialysis patients.",AgeChem Venture Fund;Athenian Venture Partners;Blue Chip Venture Company;CincyTech;Fort Washington Investment Advisors;Global Cardiovascular Innovation Center;Kearny Venture Partners;Novartis Venture Funds;Novo Holdings;Public;Queen City Angels;Satter Investment Mangement;Sigvion Capital;Triathlon Medical Venture Partners;Venture Investors,95.34,Healthcare,Drug Development,,United States,Massachusetts,Cambridge,617-871-2098,ihowes@akebia.com,Yes,IPO,2014/03/21,Series C,2013/06/04,41,Series C,Athenian Venture Partners;Triathlon Medical Venture Partners;Novartis Venture Funds;AgeChem Venture Fund;Kearny Venture Partners;Novo Holdings;Satter Investment Mangement;Sigvion Capital;Venture Investors,310.85,310.85,,,North America,,BIO 2016;Pharma Startups,,194,0.5,1.43,75.00%,,@akebiatx
